Settings.Audio.MuteUnfocused,Mute When Minimized,Stumm im Hintergrund,Arka Plandayken Sustur,Muto in background,Couper en arrière-plan,Wycisz w tle,Demp i bakgrunnen,Silenciar em segundo plano,Silenciar em segundo plano,Silenciar en segundo plano,Silenciar en segundo plano,Отключать в фоне,,バックグラウンドでミュート,백그라운드에서 음소거,后台时静音,後臺時靜音
Settings.Display.Fullscreen,Fullscreen,Vollbild,Tam Ekran,Schermo intero,Plein écran,Pełny ekran,Fullskjerm,Ecrã inteiro,Tela cheia,Pantalla completa,Pantalla completa,Полный экран,,フルスクリーン,전체 화면,全屏,全屏
Settings.Display.Resolution,Resolution,Auflösung,Çözünürlük,Risoluzione,Résolution,Rozdzielczość,Oppløsning,Resolução,Resolução,Resolución,Resolución,Разрешение,,解像度,해상도,分辨率,分辨率
Settings.Display.VSync,V-Sync,V-Sync,Dikey Eşitleme,V-Sync,V-Sync,Synchronizacja pionowa,V-Sync,V-Sync,V-Sync,V-Sync,V-Sync,Верт. синхронизация,,垂直同期,수직 동기화,垂直同步,垂直同步
Settings.Display.VSync.Off,Off,Aus,Kapalı,Disattivato,Désactivé,Wyłączona,Av,Desligado,Desligado,Desactivado,Desactivado,Выкл.,,オフ,끄기,关闭,關閉
Settings.Display.VSync.Every,Every Frame,Jedes Bild,Her Kare,Ogni fotogramma,Chaque image,Każda klatka,Hver ramme,Cada fotograma,Cada fotograma,Cada fotograma,Cada fotograma,Каждый кадр,,毎フレーム,매 프레임,每帧,每幀
Settings.Display.VSync.Half,Every 2nd Frame,Jedes 2. Bild,İki Karede Bir,Ogni 2 fotogrammi,Une image sur deux,Co drugą klatkę,Annenhver ramme,A cada 2 fotogramas,A cada 2 fotogramas,Cada 2 fotogramas,Cada 2 fotogramas,Каждый 2-й кадр,,2フレームごと,2프레임마다,每2帧,每2幀
Settings.Display.FpsLimit,Frame Rate Limit,Bildratenbegrenzung,FPS Sınırı,Limite FPS,Limite d'images,Limit FPS,Bildefrekvensgrense,Limite de FPS,Limite de FPS,Límite de FPS,Límite de FPS,Ограничение FPS,,フレームレート上限,프레임 제한,帧率限制,幀率限制
Settings.Display.ShowFps,Show FPS Counter,FPS-Anzeige,FPS Göstergesi,Mostra FPS,Afficher les FPS,Pokaż FPS,Vis FPS,Mostrar FPS,Mostrar FPS,Mostrar FPS,Mostrar FPS,Показывать FPS,,FPS表示,FPS 표시,显示帧率,顯示幀率
Settings.Gameplay.Ghost,Placement Preview,Platzierungsvorschau,Yerleşim Önizlemesi,Anteprima posizionamento,Aperçu de placement,Podgląd ustawienia,Plasseringsforhåndsvisning,Pré-visualização,Pré-visualização,Vista previa de colocación,Vista previa de colocación,Предпросмотр размещения,,配置プレビュー,배치 미리보기,放置预览,放置預覽
Settings.Gameplay.Ghost.Tip,Shows where the shape will land.,"Zeigt, wo die Form landet.",Şeklin nereye oturacağını gösterir.,Mostra dove finirà la forma.,Montre où la forme va se poser.,"Pokazuje, gdzie wyląduje kształt.",Viser hvor brikken havner.,Mostra onde a forma vai cair.,Mostra onde a forma vai cair.,Muestra dónde caerá la figura.,Muestra dónde caerá la pieza.,"Показывает, куда встанет фигура.",,ブロックが置かれる位置を表示します。,블록이 놓일 위치를 표시합니다.,显示方块将落在何处。,顯示方塊將落在何處。
Settings.Gameplay.Highlight,Highlight Clearing Lines,Zu löschende Reihen hervorheben,Temizlenecek Satırları Vurgula,Evidenzia le linee complete,Surligner les lignes complètes,Podświetlaj pełne linie,Marker fulle linjer,Destacar linhas completas,Destacar linhas completas,Resaltar líneas completas,Resaltar líneas completas,Подсвечивать заполненные линии,,消えるラインを強調,지워질 줄 강조,高亮将消除的行,高亮將消除的行
Settings.Gameplay.Grid,Grid Lines,Gitternetzlinien,Izgara Çizgileri,Linee della griglia,Lignes de la grille,Linie siatki,Rutenettlinjer,Linhas da grelha,Linhas da grelha,Líneas de cuadrícula,Líneas de cuadrícula,Линии сетки,,グリッド線,격자선,网格线,網格線
Settings.Gameplay.ConfirmQuit,Confirm Before Quitting,Vor dem Beenden fragen,Çıkmadan Önce Sor,Conferma prima di uscire,Confirmer avant de quitter,Potwierdź wyjście,Bekreft før du avslutter,Confirmar antes de sair,Confirmar antes de sair,Confirmar antes de salir,Confirmar antes de salir,Подтверждать выход,,終了前に確認,종료 전 확인,退出前确认,退出前確認
Settings.Gameplay.Haptics,Vibration,Vibration,Titreşim,Vibrazione,Vibration,Wibracje,Vibrasjon,Vibração,Vibração,Vibración,Vibración,Вибрация,,振動,진동,震动,震動
Settings.Gameplay.DragOffset,Touch Drag Offset,Berührungsversatz,Dokunma Kaydırma Payı,Offset del tocco,Décalage tactile,Przesunięcie dotyku,Berøringsforskyvning,Deslocamento do toque,Deslocamento do toque,Desplazamiento táctil,Desplazamiento táctil,Смещение при касании,,タッチのずれ,터치 오프셋,触摸偏移,觸摸偏移
Settings.Gameplay.DragOffset.Tip,Lifts the shape above your finger.,Hebt die Form über deinen Finger.,Şekli parmağının üstünde tutar.,Solleva la forma sopra il dito.,Décale la forme au-dessus du doigt.,Unosi kształt nad palcem.,Løfter brikken over fingeren din.,Levanta a forma acima do dedo.,Levanta a forma acima do dedo.,Eleva la figura sobre tu dedo.,Eleva la pieza sobre tu dedo.,Поднимает фигуру над пальцем.,,ブロックを指の上に持ち上げます。,블록을 손가락 위로 올립니다.,将方块抬到手指上方。,將方塊抬到手指上方。
Settings.Access.ReduceMotion,Reduce Motion,Bewegung reduzieren,Hareketi Azalt,Riduci movimento,Réduire les animations,Ogranicz ruch,Reduser bevegelse,Reduzir movimento,Reduzir movimento,Reducir movimiento,Reducir movimiento,Уменьшить движение,,モーションを減らす,모션 줄이기,减少动态效果,減少動態效果
Settings.Access.ReduceMotion.Tip,Disables screen shake and heavy animation.,Deaktiviert Bildschirmwackeln und starke Animationen.,Ekran sarsıntısını ve ağır animasyonları kapatır.,Disattiva scossoni e animazioni pesanti.,Désactive les secousses et animations lourdes.,Wyłącza trzęsienie ekranu i ciężkie animacje.,Slår av skjermristing og tunge animasjoner.,Desativa o tremor do ecrã e animações pesadas.,Desativa o tremor da tela e animações pesadas.,Desactiva el temblor de pantalla y animaciones intensas.,Desactiva el temblor de pantalla y animaciones intensas.,Отключает тряску экрана и тяжёлые анимации.,,画面の揺れと激しいアニメーションを無効にします。,화면 흔들림과 강한 애니메이션을 끕니다.,关闭画面震动和强烈动画。,關閉畫面震動和強烈動畫。
Settings.Access.ReduceFlashing,Reduce Flashing,Blinken reduzieren,Yanıp Sönmeyi Azalt,Riduci lampeggi,Réduire les clignotements,Ogranicz miganie,Reduser blinking,Reduzir intermitências,Reduzir intermitências,Reducir parpadeos,Reducir parpadeos,Уменьшить мерцание,,点滅を減らす,깜빡임 줄이기,减少闪烁,減少閃爍
Settings.Access.ScreenShake,Screen Shake,Bildschirmwackeln,Ekran Sarsıntısı,Scossone schermo,Secousses d'écran,Trzęsienie ekranu,Skjermristing,Tremor do ecrã,Tremor da tela,Temblor de pantalla,Temblor de pantalla,Тряска экрана,,画面の揺れ,화면 흔들림,画面震动,畫面震動
Settings.Access.Vfx,Effect Intensity,Effektstärke,Efekt Yoğunluğu,Intensità effetti,Intensité des effets,Intensywność efektów,Effektstyrke,Intensidade dos efeitos,Intensidade dos efeitos,Intensidad de efectos,Intensidad de efectos,Интенсивность эффектов,,エフェクト強度,효과 강도,特效强度,特效強度
Settings.Access.Colorblind,Colorblind Mode,Farbenblindmodus,Renk Körlüğü Modu,Modalità daltonici,Mode daltonien,Tryb dla daltonistów,Fargeblindmodus,Modo daltónico,Modo daltónico,Modo daltónico,Modo daltónico,Режим дальтоника,,色覚サポート,색맹 모드,色盲模式,色盲模式
Settings.Access.Colorblind.None,Off,Aus,Kapalı,Disattivato,Désactivé,Wyłączony,Av,Desligado,Desligado,Desactivado,Desactivado,Выкл.,,オフ,끄기,关闭,關閉
Settings.Access.Colorblind.Protanopia,Protanopia,Protanopie,Protanopi,Protanopia,Protanopie,Protanopia,Protanopi,Protanopia,Protanopia,Protanopía,Protanopía,Протанопия,,1型色覚,적색맹,红色盲,紅色盲
Settings.Access.Colorblind.Deuteranopia,Deuteranopia,Deuteranopie,Döteranopi,Deuteranopia,Deutéranopie,Deuteranopia,Deuteranopi,Deuteranopia,Deuteranopia,Deuteranopía,Deuteranopía,Дейтеранопия,,2型色覚,녹색맹,绿色盲,綠色盲
Settings.Access.Colorblind.Tritanopia,Tritanopia,Tritanopie,Tritanopi,Tritanopia,Tritanopie,Tritanopia,Tritanopi,Tritanopia,Tritanopia,Tritanopía,Tritanopía,Тританопия,,3型色覚,청색맹,蓝色盲,藍色盲
Settings.Access.Colorblind.HighContrast,High Contrast,Hoher Kontrast,Yüksek Kontrast,Alto contrasto,Contraste élevé,Wysoki kontrast,Høy kontrast,Alto contraste,Alto contraste,Alto contraste,Alto contraste,Высокий контраст,,ハイコントラスト,고대비,高对比度,高對比度
Settings.Access.UiScale,Interface Scale,Oberflächengröße,Arayüz Ölçeği,Scala interfaccia,Échelle de l'interface,Skala interfejsu,Grensesnittstørrelse,Escala da interface,Escala da interface,Escala de interfaz,Escala de interfaz,Масштаб интерфейса,,UIの大きさ,인터페이스 크기,界面缩放,界面縮放
Settings.Access.LargeText,Large Text,Große Schrift,Büyük Yazı,Testo grande,Grand texte,Duży tekst,Stor tekst,Texto grande,Texto grande,Texto grande,Texto grande,Крупный текст,,大きな文字,큰 글자,大字体,大字體
Settings.Data.ResetSettings,RESET SETTINGS,EINSTELLUNGEN ZURÜCKSETZEN,AYARLARI SIFIRLA,RIPRISTINA IMPOSTAZIONI,RÉINITIALISER LES RÉGLAGES,RESETUJ USTAWIENIA,TILBAKESTILL INNSTILLINGER,REPOR DEFINIÇÕES,REDEFINIR CONFIGURAÇÕES,RESTABLECER AJUSTES,RESTABLECER CONFIGURACIÓN,СБРОСИТЬ НАСТРОЙКИ,,設定をリセット,설정 초기화,重置设置,重置設置
Settings.Data.ResetProgress,RESET ALL PROGRESS,GESAMTEN FORTSCHRITT LÖSCHEN,TÜM İLERLEMEYİ SIFIRLA,AZZERA I PROGRESSI,EFFACER TOUTE LA PROGRESSION,USUŃ CAŁY POSTĘP,SLETT ALL FREMGANG,APAGAR TODO O PROGRESSO,APAGAR TODO O PROGRESSO,BORRAR TODO EL PROGRESO,BORRAR TODO EL PROGRESO,СБРОСИТЬ ВЕСЬ ПРОГРЕСС,,進行状況をすべて削除,모든 진행 상황 초기화,清除所有进度,清除所有進度
Settings.Data.ResetProgress.Warn,"This deletes your Blockcoins, upgrades and unlocks. This cannot be undone.","Dies löscht deine Blockcoins, Verbesserungen und Freischaltungen. Das kann nicht rückgängig gemacht werden.","Blockcoin'lerin, geliştirmelerin ve açtığın içerikler silinir. Bu geri alınamaz.","Questo cancella Blockcoin, potenziamenti e sblocchi. Non è reversibile.","Cela supprime vos Blockcoins, améliorations et déblocages. Action irréversible.","To usunie twoje Blockcoiny, ulepszenia i odblokowania. Nie można tego cofnąć.","Dette sletter Blockcoins, oppgraderinger og opplåsinger. Kan ikke angres.","Isto apaga os teus Blockcoins, melhorias e desbloqueios. Não pode ser revertido.","Isto apaga os seus Blockcoins, melhorias e desbloqueios. Não pode ser revertido.","Esto borra tus Blockcoins, mejoras y desbloqueos. No se puede deshacer.","Esto borra tus Blockcoins, mejoras y desbloqueos. No se puede deshacer.","Это удалит ваши Blockcoin, улучшения и разблокировки. Отменить нельзя.",,Blockcoin、アップグレード、アンロックがすべて削除されます。取り消せません。,"Blockcoin, 업그레이드, 잠금 해제가 모두 삭제됩니다. 되돌릴 수 없습니다.",这将删除你的 Blockcoin、升级和已解锁内容，且无法撤销。,這將刪除你的 Blockcoin、升級和已解鎖內容，且無法撤銷。
Settings.Data.ResetDone,Progress reset.,Fortschritt zurückgesetzt.,İlerleme sıfırlandı.,Progressi azzerati.,Progression réinitialisée.,Postęp zresetowany.,Fremgang tilbakestilt.,Progresso reposto.,Progresso redefinido.,Progreso restablecido.,Progreso restablecido.,Прогресс сброшен.,,進行状況をリセットしました。,진행 상황이 초기화되었습니다.,进度已重置。,進度已重置。
Settings.Apply,APPLY,ÜBERNEHMEN,UYGULA,APPLICA,APPLIQUER,ZASTOSUJ,BRUK,APLICAR,APLICAR,APLICAR,APLICAR,ПРИМЕНИТЬ,,適用,적용,应用,應用
Settings.Cancel,CANCEL,ABBRECHEN,İPTAL,ANNULLA,ANNULER,ANULUJ,AVBRYT,CANCELAR,CANCELAR,CANCELAR,CANCELAR,ОТМЕНА,,キャンセル,취소,取消,取消
Settings.Unlimited,Unlimited,Unbegrenzt,Sınırsız,Illimitato,Illimité,Bez limitu,Ubegrenset,Ilimitado,Ilimitado,Sin límite,Sin límite,Без ограничений,,無制限,무제한,无限制,無限制
Dialog.QuitRun.Title,Quit this run?,Diesen Lauf beenden?,Bu tur bitirilsin mi?,Abbandonare questa run?,Quitter cette partie ?,Zakończyć tę rozgrywkę?,Avslutte denne runden?,Terminar esta jornada?,Terminar esta jornada?,¿Salir de esta partida?,¿Salir de esta partida?,Завершить забег?,,このランを終了しますか？,이 판을 종료할까요?,要结束本局吗？,要結束本局吗？
Dialog.QuitRun.Body,Your current run will be lost.,Dein aktueller Lauf geht verloren.,Mevcut turun kaybolacak.,La run attuale andrà persa.,Votre partie en cours sera perdue.,Twoja obecna rozgrywka przepadnie.,Den pågående runden går tapt.,A tua jornada atual será perdida.,A sua jornada atual será perdida.,Perderás la partida actual.,Perderás la partida actual.,Текущий забег будет потерян.,,現在のランは失われます。,현재 진행 중인 판이 사라집니다.,当前进度将会丢失。,當前進度將會丟失。
Dialog.QuitGame.Title,Quit game?,Spiel beenden?,Oyundan çıkılsın mı?,Uscire dal gioco?,Quitter le jeu ?,Wyjść z gry?,Avslutte spillet?,Sair do jogo?,Sair do jogo?,¿Salir del juego?,¿Salir del juego?,Выйти из игры?,,ゲームを終了しますか？,게임을 종료할까요?,要退出游戏吗？,要退出遊戲吗？
Dialog.Yes,YES,JA,EVET,SÌ,OUI,TAK,JA,SIM,SIM,SÍ,SÍ,ДА,,はい,예,是,是
Dialog.No,NO,NEIN,HAYIR,NO,NON,NIE,NEI,NÃO,NÃO,NO,NO,НЕТ,,いいえ,아니요,否,否
Common.ComingSoon,COMING SOON,DEMNÄCHST,YAKINDA,PROSSIMAMENTE,BIENTÔT DISPONIBLE,WKRÓTCE,KOMMER SNART,EM BREVE,EM BREVE,PRÓXIMAMENTE,PRÓXIMAMENTE,СКОРО,,近日公開,출시 예정,敬请期待,敬請期待
Upgrades.Empty.Title,SELECT AN ITEM,WÄHLE EIN OBJEKT,BİR ÖĞE SEÇİN,SELEZIONA UN OGGETTO,SÉLECTIONNEZ UN OBJET,WYBIERZ ELEMENT,VELG ET ELEMENT,SELECIONE UM ITEM,SELECIONE UM ITEM,SELECCIONA UN OBJETO,SELECCIONA UN OBJETO,ВЫБЕРИТЕ ЭЛЕМЕНТ,,項目を選択,항목을 선택하세요,请选择一项,請選擇一項
Upgrades.Empty.Desc,Pick an upgrade above to see its details.,"Wähle oben eine Verbesserung, um Details zu sehen.",Detayları görmek için yukarıdan bir güçlendirici seçin.,Scegli un potenziamento sopra per vedere i dettagli.,Choisissez une amélioration ci-dessus pour voir les détails.,"Wybierz ulepszenie powyżej, aby zobaczyć szczegóły.",Velg en oppgradering ovenfor for å se detaljer.,Escolha uma melhoria acima para ver os detalhes.,Escolha uma melhoria acima para ver os detalhes.,Elige una mejora arriba para ver los detalles.,Selecciona una mejora arriba para ver los detalles.,"Выберите улучшение выше, чтобы увидеть детали.",,上のアップグレードを選ぶと詳細が表示されます。,위에서 업그레이드를 선택하면 상세 정보가 표시됩니다.,在上方选择一项升级即可查看详情。,在上方選擇一項升級即可查看詳情。
Upgrades.LockedStage,Stage {0},Stufe {0},Aşama {0},Fase {0},Palier {0},Etap {0},Trinn {0},Estágio {0},Estágio {0},Etapa {0},Etapa {0},Этап {0},,ステージ {0},단계 {0},阶段 {0},階段 {0}
Shop.MaxLevel,MAX,MAX,MAKS,MAX,MAX,MAKS,MAKS,MÁX,MÁX,MÁX,MÁX,МАКС,,最大,최대,满级,滿級
Language.French,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,,Français,Français,Français,Français
Language.Castilian Spanish,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,,Español,Español,Español,Español
Language.Italian,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,,Italiano,Italiano,Italiano,Italiano
Language.Portuguese,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,,Português,Português,Português,Português
Language.Russian,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,,Русский,Русский,Русский,Русский
Language.Polish,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,,Polski,Polski,Polski,Polski
Language.Japanese,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,,日本語,日本語,日本語,日本語
Language.Korean,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,,한국어,한국어,한국어,한국어
Language.Chinese (Simplified),简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,,简体中文,简体中文,简体中文,簡體中文
