Key,English,German,Turkish,Italian,French,Polish,Norwegian,Portuguese,Portuguese (Brazil),Castilian Spanish,Spanish (Latin America),Russian,Arabic,Japanese,Korean,Chinese (Simplified),Chinese (Traditional)
Card.Card_Double_Strike.Name,Double Strike,Doppelschlag,Çifte Darbe,Doppio colpo,Double frappe,Podwójne uderzenie,Dobbeltslag,Golpe duplo,Golpe duplo,Doble golpe,Doble golpe,Двойной удар,,ダブルストライク,더블 스트라이크,双重打击,雙重打擊
Card.Card_Double_Strike.Desc,Clearing 2 or more lines at once multiplies the score by 1.5.,"Werden 2 oder mehr Reihen gleichzeitig gelöscht, wird die Punktzahl mit 1,5 multipliziert.",Aynı anda 2 veya daha fazla satır temizlemek skoru 1.5 katına çıkarır.,"Cancellare 2 o più linee insieme moltiplica il punteggio per 1,5.","Effacer 2 lignes ou plus d'un coup multiplie le score par 1,5.","Wyczyszczenie 2 lub więcej linii naraz mnoży wynik przez 1,5.","Å fjerne 2 eller flere linjer samtidig ganger poengene med 1,5.","Limpar 2 ou mais linhas de uma vez multiplica a pontuação por 1,5.","Limpar 2 ou mais linhas de uma vez multiplica a pontuação por 1,5.","Limpiar 2 o más líneas a la vez multiplica la puntuación por 1,5.","Limpiar 2 o más líneas a la vez multiplica el puntaje por 1,5.","Очистка 2 и более линий за раз умножает очки на 1,5.",,2 ライン以上を同時に消すとスコアが 1.5 倍になります。,2줄 이상을 동시에 지우면 점수가 1.5배가 됩니다.,一次消除 2 行或以上，分数 ×1.5。,一次消除 2 行或以上，分數 ×1.5。
Card.Card_First_Picks.Name,First Picks,Erste Züge,İlk Seçimler,Prime scelte,Premiers choix,Pierwsze wybory,Første valg,Primeiras escolhas,Primeiras escolhas,Primeras elecciones,Primeras elecciones,Первые ходы,,ファーストピック,첫 선택,首选,首選
Card.Card_First_Picks.Desc,"The first 5 shapes this Milestone are free, but cannot be rotated.","Die ersten 5 Formen dieses Ziels sind kostenlos, können aber nicht gedreht werden.","Bu hedefteki ilk 5 şekil havuzdan düşmez, ama döndürülemez.","Le prime 5 forme di questo obiettivo sono gratuite, ma non ruotabili.","Les 5 premières formes de cet objectif sont gratuites, mais ne peuvent pas être tournées.","Pierwsze 5 kształtów w tym celu jest darmowe, ale nie można ich obracać.","De 5 første brikkene i dette målet er gratis, men kan ikke roteres.","As primeiras 5 formas deste objetivo são grátis, mas não podem ser rodadas.","As primeiras 5 formas deste objetivo são grátis, mas não podem ser rodadas.","Las primeras 5 figuras de este objetivo son gratis, pero no se pueden rotar.","Las primeras 5 piezas de este objetivo son gratis, pero no se pueden rotar.","Первые 5 фигур в этой цели бесплатны, но их нельзя вращать.",,この目標の最初の 5 個は無料ですが、回転できません。,이 목표의 첫 5개 블록은 무료지만 회전할 수 없습니다.,本目标的前 5 个方块免费，但不能旋转。,本目標的前 5 個方塊免費，但不能旋轉。
Card.Card_Future_Investment.Name,Future Investment,Zukunftsinvestition,Gelecek Yatırımı,Investimento futuro,Investissement futur,Inwestycja w przyszłość,Fremtidsinvestering,Investimento futuro,Investimento futuro,Inversión futura,Inversión futura,Инвестиция в будущее,,将来への投資,미래 투자,未来投资,未來投資
Card.Card_Future_Investment.Desc,Raises this Milestone's target by 20%. Clear it and the next target drops 15%.,"Erhöht das aktuelle Ziel um 20%. Schaffst du es, sinkt das nächste Ziel um 15%.",Bu hedefin skorunu %20 artırır. Geçersen sonraki hedef %15 düşer.,"Aumenta l'obiettivo attuale del 20%. Se ci riesci, il prossimo cala del 15%.","Augmente l'objectif actuel de 20%. Si vous réussissez, le suivant baisse de 15%.","Zwiększa obecny cel o 20%. Jeśli go osiągniesz, następny spada o 15%.","Øker dette målet med 20%. Klarer du det, synker neste mål med 15%.","Aumenta o objetivo atual em 20%. Se conseguires, o próximo desce 15%.","Aumenta o objetivo atual em 20%. Se conseguir, o próximo desce 15%.","Sube el objetivo actual un 20%. Si lo logras, el siguiente baja un 15%.","Sube el objetivo actual un 20%. Si lo logras, el siguiente baja un 15%.",Повышает текущую цель на 20%. Если пройдёте — следующая снизится на 15%.,,現在の目標を 20% 引き上げます。達成すると次の目標が 15% 下がります。,현재 목표를 20% 올립니다. 달성하면 다음 목표가 15% 낮아집니다.,当前目标提高 20%。若达成，下个目标降低 15%。,當前目標提高 20%。若達成，下個目標降低 15%。
Card.Card_Gambler.Name,Gambler,Spieler,Kumarbaz,Scommettitore,Joueur,Hazardzista,Gambler,Apostador,Apostador,Apostador,Apostador,Азартный игрок,,ギャンブラー,도박꾼,赌徒,賭徒
Card.Card_Gambler.Desc,Each placement has a 20% chance to double its score - or halve it.,"Jede Platzierung hat 20% Chance, die Punkte zu verdoppeln – oder zu halbieren.",Her yerleştirmenin %20 ihtimalle puanı ikiye katlanır - ya da yarıya iner.,"Ogni piazzamento ha il 20% di raddoppiare i punti, o dimezzarli.",Chaque placement a 20% de chances de doubler les points – ou de les diviser par deux.,Każde ułożenie ma 20% szans na podwojenie punktów – albo ich połowienie.,Hver plassering har 20% sjanse for å doble poengene – eller halvere dem.,"Cada colocação tem 20% de hipótese de duplicar os pontos, ou reduzi-los a metade.","Cada colocação tem 20% de chance de duplicar os pontos, ou reduzi-los a metade.","Cada colocación tiene un 20% de probabilidad de duplicar los puntos, o reducirlos a la mitad.","Cada colocación tiene un 20% de probabilidad de duplicar los puntos, o reducirlos a la mitad.",Каждая установка с шансом 20% удваивает очки — или уменьшает вдвое.,,配置ごとに 20% の確率で得点が 2 倍、または半分になります。,배치할 때마다 20% 확률로 점수가 2배 또는 절반이 됩니다.,每次放置有 20% 概率使分数翻倍——或减半。,每次放置有 20% 概率使分數翻倍——或減半。
Card.Card_Ghost_Drop.Name,Ghost Drop,Geisterwurf,Hayalet Düşüş,Caduta fantasma,Chute fantôme,Duchowy zrzut,Spøkelsesfall,Queda fantasma,Queda fantasma,Caída fantasma,Caída fantasma,Призрачный сброс,,ゴーストドロップ,고스트 드롭,幽灵放置,幽靈放置
Card.Card_Ghost_Drop.Desc,A shape placed touching nothing is free. Works 3 times per Milestone.,"Eine Form, die nichts berührt, ist kostenlos. Dreimal pro Ziel.",Hiçbir bloğa değmeden konan şekil havuzdan düşmez. Hedef başına 3 kez.,Una forma che non tocca nulla è gratuita. Tre volte per obiettivo.,Une forme qui ne touche rien est gratuite. Trois fois par objectif.,Kształt niedotykający niczego jest darmowy. Trzy razy na cel.,En brikke som ikke rører noe er gratis. Tre ganger per mål.,Uma forma que não toca em nada é grátis. Três vezes por objetivo.,Uma forma que não toca em nada é grátis. Três vezes por objetivo.,Una figura que no toca nada es gratis. Tres veces por objetivo.,Una pieza que no toca nada es gratis. Tres veces por objetivo.,"Фигура, не касающаяся ничего, бесплатна. Три раза за цель.",,何にも接していないブロックは無料。目標ごとに 3 回まで。,아무것도 닿지 않게 놓은 블록은 무료. 목표당 3회.,不接触任何方块的放置免费。每目标 3 次。,不接觸任何方塊的放置免費。每目標 3 次。
Card.Card_Heavy_Load.Name,Heavy Load,Schwere Last,Ağır Yük,Carico pesante,Lourde charge,Ciężki ładunek,Tung last,Carga pesada,Carga pesada,Carga pesada,Carga pesada,Тяжёлый груз,,重い荷物,무거운 짐,重负,重負
Card.Card_Heavy_Load.Desc,"Pool capacity +6 shapes, but global score multiplier -0.10.","Vorrat +6 Formen, aber globaler Punktemultiplikator -0,10.","Havuz kapasitesi +6 şekil, ama global skor çarpanı -0.10.","Riserva +6 forme, ma moltiplicatore globale -0,10.","Réserve +6 formes, mais multiplicateur de score global -0,10.","Pula +6 kształtów, ale globalny mnożnik punktów -0,10.","Beholdning +6 brikker, men global poengmultiplikator -0,10.","Reserva +6 formas, mas multiplicador global -0,10.","Reserva +6 formas, mas multiplicador global -0,10.","Reserva +6 figuras, pero multiplicador global -0,10.","Reserva +6 piezas, pero multiplicador global -0,10.","Запас +6 фигур, но общий множитель очков -0,10.",,ブロック所持数 +6、ただし全体スコア倍率 -0.10。,"블록 보유량 +6, 단 전체 점수 배율 -0.10.",方块储备 +6，但全局分数倍率 -0.10。,方塊儲備 +6，但全局分數倍率 -0.10。
Card.Card_Hoarder.Name,Hoarder,Hamsterer,İstifçi,Accumulatore,Accumulateur,Zbieracz,Samler,Acumulador,Acumulador,Acumulador,Acumulador,Накопитель,,溜め込み屋,비축가,囤积者,囤積者
Card.Card_Hoarder.Desc,Finish a Milestone with 15 or more shapes left to start the next one with +3 pool capacity.,"Beendest du ein Ziel mit 15 oder mehr Formen, startest du das nächste mit +3 Vorrat.","Bir hedefi 15 veya daha fazla şekil kalarak bitirirsen, sonrakine +3 havuz kapasitesiyle başlarsın.",Finisci un obiettivo con 15 o più forme per iniziare il prossimo con +3 di riserva.,Terminez un objectif avec 15 formes ou plus pour commencer le suivant avec +3 de réserve.,"Ukończ cel z 15 lub więcej kształtami, by zacząć następny z +3 puli.",Fullfør et mål med 15 eller flere brikker igjen for å starte neste med +3 beholdning.,Termina um objetivo com 15 ou mais formas para começar o próximo com +3 de reserva.,Termine um objetivo com 15 ou mais formas para começar o próximo com +3 de reserva.,Termina un objetivo con 15 o más figuras para empezar el siguiente con +3 de reserva.,Termina un objetivo con 15 o más piezas para empezar el siguiente con +3 de reserva.,"Завершите цель с 15+ фигурами, чтобы начать следующую с +3 к запасу.",,ブロックを 15 個以上残して目標を達成すると、次の目標を所持数 +3 で始めます。,블록을 15개 이상 남기고 목표를 달성하면 다음 목표를 보유량 +3으로 시작합니다.,以剩余 15 个及以上方块完成目标，下个目标储备 +3 开局。,以剩余 15 個及以上方塊完成目標，下個目標儲備 +3 開局。
Card.Card_Hyperfocus.Name,Hyper Focus,Hyperfokus,Aşırı Odak,Iperfocus,Hyperfocus,Hiperskupienie,Hyperfokus,Hiperfoco,Hiperfoco,Hiperenfoque,Hiperenfoque,Гиперфокус,,ハイパーフォーカス,초집중,超专注,超專注
Card.Card_Hyperfocus.Desc,"Combo multiplier grows twice as fast, but every combo reset costs 2 shapes.","Der Combo-Multiplikator wächst doppelt so schnell, aber jeder Combo-Reset kostet 2 Formen.","Kombo çarpanı iki kat hızlı büyür, ama her kombo sıfırlanması 2 şekile mal olur.","Il moltiplicatore combo cresce il doppio, ma ogni azzeramento costa 2 forme.","Le multiplicateur de combo croît deux fois plus vite, mais chaque réinitialisation coûte 2 formes.","Mnożnik kombo rośnie dwa razy szybciej, ale każdy reset kosztuje 2 kształty.","Kombomultiplikatoren vokser dobbelt så raskt, men hver komborestart koster 2 brikker.","O multiplicador de combo cresce o dobro, mas cada reinício custa 2 formas.","O multiplicador de combo cresce o dobro, mas cada reinício custa 2 formas.","El multiplicador de combo crece el doble de rápido, pero cada reinicio cuesta 2 figuras.","El multiplicador de combo crece el doble de rápido, pero cada reinicio cuesta 2 piezas.","Множитель комбо растёт вдвое быстрее, но каждый сброс стоит 2 фигуры.",,コンボ倍率の上昇が 2 倍になりますが、コンボが切れるたび 2 ブロック失います。,"콤보 배율이 2배 빠르게 오르지만, 콤보가 끊길 때마다 블록 2개를 잃습니다.",连击倍率增长翻倍，但每次连击中断损失 2 个方块。,連擊倍率增長翻倍，但每次連擊中斷損失 2 個方塊。
Card.Cart_Line_Master.Name,Line Master,Reihenmeister,Satır Ustası,Maestro delle righe,Maître des lignes,Mistrz rzędów,Radmester,Mestre das linhas,Mestre das linhas,Maestro de líneas,Maestro de líneas,Мастер строк,,ラインマスター,가로줄의 달인,横行大师,橫行大師
Card.Cart_Line_Master.Desc,Horizontal clears score 2.5x. Vertical clears score nothing but still hold the combo.,"Nur waagerechte Reihen geben Punkte (2,5x). Senkrechte geben keine Punkte, halten aber das Combo.",Yatay temizlikler 2.5x puan verir. Dikey temizlikler puan vermez ama komboyu korur.,"Solo le righe orizzontali danno punti (2,5x). Quelle verticali non danno punti ma mantengono il combo.","Seules les lignes horizontales rapportent des points (2,5x). Les verticales n'en donnent aucun mais maintiennent le combo.","Tylko poziome linie dają punkty (2,5x). Pionowe nie punktują, ale utrzymują kombo.","Bare vannrette linjer gir poeng (2,5x). Loddrette gir ingen poeng, men holder komboen.","Só as linhas horizontais dão pontos (2,5x). As verticais não pontuam mas mantêm o combo.","Só as linhas horizontais dão pontos (2,5x). As verticais não pontuam mas mantêm o combo.","Solo las líneas horizontales dan puntos (2,5x). Las verticales no puntúan pero mantienen el combo.","Solo las líneas horizontales dan puntos (2,5x). Las verticales no puntean pero mantienen el combo.","Очки дают только горизонтальные линии (2,5x). Вертикальные не дают очков, но сохраняют комбо.",,横のラインのみ 2.5 倍で得点。縦のラインは無得点ですがコンボは維持されます。,가로줄만 2.5배 점수를 줍니다. 세로줄은 점수가 없지만 콤보는 유지됩니다.,只有横行计分（2.5 倍）。竖列不计分但保持连击。,只有橫行計分（2.5 倍）。豎列不計分但保持連擊。
Card.Card_Momentum.Name,Momentum,Schwung,İvme,Slancio,Élan,Rozpęd,Momentum,Impulso,Impulso,Impulso,Impulso,Импульс,,勢い,기세,势头,勢頭
Card.Card_Momentum.Desc,Every line you clear adds +0.05 to your combo multiplier gain.,"Jede gelöschte Reihe erhöht deinen Combo-Zuwachs um 0,05.",Temizlediğin her satır kombo çarpanı kazancına +0.05 ekler.,"Ogni linea cancellata aumenta il guadagno combo di 0,05.","Chaque ligne effacée augmente votre gain de combo de 0,05.","Każda wyczyszczona linia zwiększa przyrost kombo o 0,05.","Hver linje du fjerner gir +0,05 til komboøkningen.","Cada linha limpa aumenta o ganho de combo em 0,05.","Cada linha limpa aumenta o ganho de combo em 0,05.","Cada línea limpiada aumenta tu ganancia de combo en 0,05.","Cada línea limpiada aumenta tu ganancia de combo en 0,05.","Каждая очищенная линия увеличивает прирост комбо на 0,05.",,ライン消去ごとにコンボ増加量が +0.05 されます。,줄을 지울 때마다 콤보 증가량이 +0.05 됩니다.,每消除一行，连击增益 +0.05。,每消除一行，連擊增益 +0.05。
Card.Card_Momentum_Shield.Name,Momentum Shield,Schwungschild,İvme Kalkanı,Scudo di slancio,Bouclier d'élan,Tarcza rozpędu,Momentumskjold,Escudo de impulso,Escudo de impulso,Escudo de impulso,Escudo de impulso,Щит импульса,,モメンタムシールド,모멘텀 실드,势头护盾,勢頭護盾
